Character,Chinese Subtitle,English Translation
Sun Wukong,这么多年了，除了那只猪头，就属你最会扯淡，最能逗老孙开心,"All these years, except for that pig, you're the one who talks the tallest tales. Good, I am entertained! "
Sun Wukong,杨兄弟，你放心,"Speaking of entertainment, "
Sun Wukong,待会儿我只拔下你额头上那颗眼睛尝尝鲜，其他两颗先给你留着,"wouldn't it be fun if I pluck your extra eye out for my snack, and allow you to keep the other two? "
Sun Wukong,我让你亲眼看看，我是怎么杀光天庭每一条狗的,Because I'd hate to let you miss how I'll slaughter each mongrel of the Court. 
Sun Wukong,这里的，上面的，还有刚刚那条黑的,"Those below, those above, and that black mutt of yours. "
Sun Wukong,溜撒点，一起上罢！,"Come at me, all of you!"
"Erlang, the Sacred Divinity",老天一再给你机会,"They gave you many chances,"
"Erlang, the Sacred Divinity",你这般不识抬举，算不算背恩忘情,yet you spurned each one. Such ingratitude!
"Erlang, the Sacred Divinity",斗战胜佛……,The Victorious Fighting Buddha...
"Erlang, the Sacred Divinity",你可知这长生不老的佛位，有多少人求而不得？,Have you any idea how many would give their everything for immortality?
Sun Wukong,长生不老……,Immortality... 
Sun Wukong,三界六道，不就毁在这四个字上？,"For that word, all realms and beings have ruined themselves."
"Erlang, the Sacred Divinity",泼猴，你受了天箓，本性未改,"The Celestial Court welcomed you, foul monkey, yet you remain untamed!"
"Erlang, the Sacred Divinity",今日谁也救不了,None shall save you now!
Sun Wukong,好兄长， 你的刀钝了？,"Dear brother, your edge needs honing."
Sun Wukong,正好给俺老孙挠个痒……,"Good, I was in need of a backscratcher!"
"Erlang, the Sacred Divinity",泼猴，吃吾一刃！,"Foul monkey, taste my axe!"
Sun Wukong,小外甥，这就是你说的单挑？,"Brat, you call that a duel?  "
Sun Wukong,天上阳光扎眼的很，有种再和你舅舅去山里会会,The glare up here is dazzling. Fight me in the woods if you have the guts.
The Old Monkey,这便是孙悟空的最后一个故事,"And so ends the last tale of Sun Wukong, "
The Old Monkey,他一生豪杰，平生最喜自由自在,a hero who treasured his freedom above all else. 
The Old Monkey,纵然得了正果金身，却还是受不得天条繁冗,"Buddhahood he attained, yes; but cumbersome, he found the Celestial Rules. "
The Old Monkey,一心想着回来这里，与咱共乐天真,For he yearned to come back and to revel in the simple joys with us. 
The Old Monkey,谁知他辞了佛位，欢喜还乡，有些人倒是越发放心不下,"Little did he know, his choice to forgo the life above only fueled their mistrust."
The Old Monkey,这块石头啊，在山里矗了不知多少时节,This stone has stood for countless days on the mountain. 
The Old Monkey,我打小听人说，齐天大圣的尸身，就藏在里面,"Since my youth, they said that his remains lie within it. "
The Old Monkey,他乃天产石猴，本有不生不灭的大神通,"Unbegotten, undying, such is the nature of a stone monkey. "
The Old Monkey,纵然不幸身死，但神魂没有完全消散,"Though his body was broken, his spirit endures. "
The Old Monkey,而是化为了六件灵物，各自逃遁，隐匿世间,"Into six relics he turned, and separately they escaped, choosing to stay hidden. "
The Old Monkey,这便是大圣六根的传说,Those are the Six Senses of the Great Sage. 
The Old Monkey,可惜数百年来，无人亲眼得见,Yet no one has ever seen them. Not in centuries.
The Old Monkey,我老了，走不完这四洲茫茫之地,"I'm old now. Venture through all the lands, I cannot. "
The Old Monkey,但你们之中，庶几会有天命所归,"Yet among you, there might be one who is destined, "
The Old Monkey,将他遗下的灵物一一寻遍,one that shall recover all his scattered relics. 
The Old Monkey,待灵物尽数回归花果山之日，或是大圣复生之时……,"And upon the return of the relics to Mount Huaguo, he may yet rise again..."
Wolf Swornsword,走走走，游游游,"On the go, bent the toe, "
Wolf Swornsword,甘为铜钱做马牛,"Life of human, all for gold. "
Wolf Swornsword,做人哪比做妖好,"Nowhere better than our home, "
Wolf Swornsword,不怕阎王命不休,We cheat death and ever grow. 
Wolf Swornsword,诶，你看,"Here, you see? "
Wolf Swornsword,缘到福自有,What bliss my fate shows!
Wolf Scout,大哥真是有口福,Well well! Luck's around the corner. 
Wolf Scout,指不定是从哪个山头上滚下来的,Seems like it just fell from a fruit tree here.
Wolf Swornsword,正好饿着,Perfect timing!
Wolf Swornsword,这桃儿倒是识趣,This peach knew I needed a snack!
Wolf Swornsword,好个小猢狲,You sneaky rascal!
Wolf Swornsword,敢作弄你爷爷？,Dared to fool me?
Wolf Swornsword,今日定叫你知道知道厉害！,I'll make sure you regret it!
Keeper of Black Wind Mountain,不管来多少次,No matter how many times you come around.
Keeper of Black Wind Mountain,总是改不了这胡闹性子,"You are still as mischievous as ever, eh?"
Keeper of Black Wind Mountain,发什么呆,What are you waiting for?
Keeper of Black Wind Mountain,拔根毛来拜一拜,Pluck your hair and make an offer!
Keeper of Black Wind Mountain,哎，等等！,Hey! Wait!
Keeper of Black Wind Mountain,小神是黑风山的土地，在此候你多时,"I, the keeper of Black Wind Mountain, have long been waiting for your arrival."
Keeper of Black Wind Mountain,像,His spitting image...
Keeper of Black Wind Mountain,真像,I'd say.
Keeper of Black Wind Mountain,再往前走，就是观音禅院,Up ahead is Guanyin Temple.
Keeper of Black Wind Mountain,当年也是香火鼎盛,"Once, it was bustling with worshippers,"
Keeper of Black Wind Mountain,只可惜那场大火……,before it was ruined by that fire...
Keeper of Black Wind Mountain,后来，这禅院又被重建了,"Then, the temple was rebuilt. "
Keeper of Black Wind Mountain,可人心若是烧没了,But what good is it to rebuild a temple...
Keeper of Black Wind Mountain,修好一座破庙，又有什么用呢？,if the goodwill of men has been burnt to ashes.
Keeper of Black Wind Mountain,你不记得此地,You've forgotten this place. 
Keeper of Black Wind Mountain,此地却是有些东西惦记着你,but they haven't forgotten you!
Keeper of Black Wind Mountain,来者不善，小猴子自求多福！,That's a tough one. Good luck to you!
Keeper of Black Wind Mountain,许久不用,"It's been a while, "
Keeper of Black Wind Mountain,没承想这定身术倒还好使,but the Immobilize Spell still works like a charm!
Keeper of Black Wind Mountain,既是花果山来的故人,"Since you hail from Mount Huaguo, "
Keeper of Black Wind Mountain,教你一招也无妨,it won't hurt to teach you a handy trick.
Keeper of Black Wind Mountain,来，速速把手伸来！,"Now, here we go, give me your hand!"
Keeper of Black Wind Mountain,写好了,There you go. 
Keeper of Black Wind Mountain,日后遇到什么凶匪恶徒,"Should you come across any miscreants, "
Keeper of Black Wind Mountain,只消用这手一指,"just point your finger at them,"
Keeper of Black Wind Mountain,心里默念一声“定”,and release this spell. 
Keeper of Black Wind Mountain,就能让对方动弹不得,"You'll be able to hold them in place, "
Keeper of Black Wind Mountain,你也可喘息片刻,while giving yourself a breather.
Keeper of Black Wind Mountain,只是小老儿道行浅薄,"Sadly, mine is but a humble trick. "
Keeper of Black Wind Mountain,这定身效果不消片刻就会失灵,Its power will wear off within a few short moments.
Keeper of Black Wind Mountain,遇到些夯货倒还好用,Though it's good enough against boneheads like this one. 
Keeper of Black Wind Mountain,你权当是挣个傍身的手段罢,"Anyway, just consider it an ace up your sleeve."
Keeper of Black Wind Mountain,如今这些小儿,The younguais these days... 
Keeper of Black Wind Mountain,真是目无尊长！,have no manners!
Keeper of Black Wind Mountain,别怕，用刚学的法术与他玩玩！,Fear not! Teach him a lesson with your new spell!
Keeper of Black Wind Mountain,再不知深浅地这么往前硬闯,"Hey! Wait! You don't think you can just parade in, do you?"
Keeper of Black Wind Mountain,只怕得吃大苦头,It's not that simple!
Keeper of Black Wind Mountain,我且把你变为一只金蝉,Let me transform you into a golden cicada.
Keeper of Black Wind Mountain,你可顺着前面的火光,"So you may follow the fires ahead,"
Keeper of Black Wind Mountain,探一探这山中的虚实,and scout this mountain unnoticed...
Keeper of Black Wind Mountain,小庙还有诸多神奇妙用,"It might be humble, but my shrine is very versatile."
Keeper of Black Wind Mountain,日后你自会明白,You'll get it soon enough.
Keeper of Black Wind Mountain,黑风山的后山重地，藏着不少秘密,"In the depths of Black Wind Mountain, there are secrets galore."
Keeper of Black Wind Mountain,想四处探探的话,"The cicada form may help you explore,"
Keeper of Black Wind Mountain,务必留神金蝉的存续时间,but be wary this form does not last forever.
Keeper of Black Wind Mountain,若是遇上穷途末路之处,"Should you find yourself lost, "
Keeper of Black Wind Mountain,小神自会暗中提点,just follow my voice.
Keeper of Black Wind Mountain,放心去罢！,"Now, off you go!"
Guangzhi,来者何人,Who goes there?
Guangzhi,敢来此处扰我清修？,How dare you to interrupt my meditation...
Guangzhi,诶，又是只猴子？,"Hmmm...Another monkey, I see?"
Guangzhi,施主不如放下棍棒,"Why don't you lay down your weapon,"
Guangzhi,也同我学点佛法,and join me in Buddha's mercy?
Guangzhi,如何？,What say you?
Guangzhi,你……莫非就是大王说的那个……,You... Master spoke of you...
Guangzhi,天……命……人,The Destined... One.
Keeper of Black Wind Mountain,嘘！别出声,Shhh! Keep quiet!
Keeper of Black Wind Mountain,小心惊动了那条大狗,You don't want to set off that beast.
Keeper of Black Wind Mountain,后院那厮是黑风怪的道友,In the backyard is Black Wind Guai's ally.
Keeper of Black Wind Mountain,自称灵虚子,Calls itself Lingxuzi.
Keeper of Black Wind Mountain,以你现在的道行，恐怕……,Considering your strength... I'd suggest you...
Keeper of Black Wind Mountain,糟了！,"Oh, no!"
Keeper of Black Wind Mountain,小猴子快逃，还来得及！,"Get away while you can, little monkey!"
Keeper of Black Wind Mountain,你若进了这道门，便回不了头了！,"Once you pass that gate, there's no turning back!"
Keeper of Black Wind Mountain,小瞧你了,You've surprised me.
Keeper of Black Wind Mountain,既然结果了它，不妨先把这里翻个底朝天,"Now that it's dead, you might as well take a good look around."
Keeper of Black Wind Mountain,那黑风怪赏了凌虚子一颗金丹,A great pill the Black Wind Guai had gifted the wolf.
Keeper of Black Wind Mountain,若是寻到此物，就算没白来一遭,Finding it would be a deserving reward for that fight.
Guangmou,小僧法名广谋,This humble one's name is Guangmou.
Guangmou,若是今日死在你手,"Should my demise come by your hands,"
Guangmou,帮我带句话给师父,please pass this message to my master:
Guangmou,肉眼凡夫，求而不得神仙骨,"Searching for deity, mortals do aspire."
Guangmou,半荣半枯，几人知是长生路,"Craving immortality, yaoguais surely will conspire."
Guangmou,施主如此执于外物,My master is possession-obsessed.
Guangmou,与我那师父又有何分别,You are just like him...
Keeper of Black Wind Mountain,广谋？,Guangmou?
Keeper of Black Wind Mountain,广智？,Guangzhi?
Keeper of Black Wind Mountain,小神想起来了！,I remember now!
Keeper of Black Wind Mountain,当年怂恿金池长老放火烧死唐僧师徒的恶僧,The evil monks abetted Elder Jinchi to burn the Great Sage and Tang Monk alive...
Keeper of Black Wind Mountain,正是他俩！,That's these two!
Keeper of Black Wind Mountain,我道是这两人，都随那场火灰飞烟灭了,I thought they were already turned into ashes by that fire.
Keeper of Black Wind Mountain,谁晓得不但没死，还化成了一狼一蛇两只妖怪,Who would have thought they had turned into yaoguais?
Keeper of Black Wind Mountain,小神有种不好的预感,I have an ominous feeling...
Keeper of Black Wind Mountain,钟响之后，后山传来的怨气似乎更重了一些……,"After the bell rang, it seems as though the resentment in the depths of the mountain has grown."
Keeper of Black Wind Mountain,算了算了，想那么多作甚,Forget it... Overthinking won't help.
Keeper of Black Wind Mountain,现在山里大大小小的妖精，都知道你闯进来了,Your presence has already made a mess in the mountain.
Keeper of Black Wind Mountain,干脆一鼓作气，把他们收拾干净罢！,Why not go ahead and take them out once and for all?
Shen Monkey,你你你，愣着干嘛？,"Hey, hey! What are you waiting for?"
Shen Monkey,快快快，帮你哥哥，速速乱棍打死,"Come, come! Help a big brother and give them a drubbing!"
Shen Monkey,小小蛇妖，不过尔尔,These snake guais are nothing to fear.
Shen Monkey,蛇胆用来泡酒，倒是清热解毒的佳品,"Snake gall steeped in drink, though, makes a fine tonic to flush malady."
Shen Monkey,来来来，小老弟，里面请，里面请,"Here, here, young friend! Be my guest inside!"
Shen Monkey,瞧瞧瞧，你这模样多半也是花果山来的猴子，我见得多了,"Well, well, I'd stake you're one more monkey from Mount Huaguo. I've met many of you."
Shen Monkey,论辈分你们都得叫我声祖宗,"By rank of birth, you all ought to call me forefather."
Shen Monkey,不过算了，谁让我被贬了呢,But I'm just an old monkey banished to the mortal world.
Shen Monkey,下界之时，拿了不少宝贝，你瞅瞅，可有心仪的？,"I brought troves down to this realm, though. Have a look if something catches your fancy."
Shen Monkey,小老弟切记，一分醉酒，十分醉德,"Remember, young friend: a sip makes one tipsy, many sips make you hammered."
Shen Monkey,管他玉液琼浆，羊酪椰醪，宽怀畅饮！,"Dew drops, honey brew, sheep curd, palm tipple. I drink all there is!"
Shen Monkey,有酒处处神仙府，无酒天阙如天牢,"Where there's drink, all is bliss. Without it, the highest court is a cage."
Whiteclad Noble,凤兮凤兮,"""Hailed bird, hailed bird!"""
Whiteclad Noble,何德之衰,"""What dimmed your shine?"""
Whiteclad Noble,往者不可谏,"""Past's grip, beyond our grasp."""
Whiteclad Noble,来者犹可追,"""The future, we may still clasp."""
Whiteclad Noble,小师父，天色已晚,"Late is the hour, young one...."
Whiteclad Noble,你来我这修身之地大开杀戒,... in which you choose to stain my tranquil abode.
Whiteclad Noble,到底是何居心啊？,"Pray tell, to what end do you seek?"
Whiteclad Noble,且慢！,Halt!
Whiteclad Noble,是大哥要我来此做个内应，这才假意听命于那熊罴守这后山要道,No ill will I bear. I'm merely my brother's eyes and ears. I feign my loyalty to guard this path on the bear's order!
Whiteclad Noble,知君命不偶，同病亦同忧,"""Your destiny's bleak and stark. In its grip, we share the mark. """
Whiteclad Noble,观音禅院是烧没了，可那长老的冤魂没有散,"The Guanyin Temple now lies in cinders, yet the Elder's soul endures."
Whiteclad Noble,贪根不拔，苦树常在,"""The root of greed ever fosters the stem of suffering. """
Whiteclad Noble,你真正想要的东西，忘了最好,Better to forget the things you truly seek.
Whiteclad Noble,那三口钟……你可都见过了？,The three bells... Have you seen them all?
Whiteclad Noble,旁人念念不忘的，也是你所求的吗……,"Do you, too, desire that which they ceaselessly hold dear?"
Keeper of Black Wind Mountain,钟……？,The bells?
Keeper of Black Wind Mountain,自那黑风怪回来后，山里便立起了三口洪钟，却不许旁人靠近,"Three bells were set in the mountain since the Black Wind Guai's return, yet no one is allowed to go near them."
Keeper of Black Wind Mountain,莫非那三口钟，与当年的火烧禅院有关？,Maybe the bells have something to do with the temple's burning.
Keeper of Black Wind Mountain,此人所言不像假话，小猴子，你可暗自留心,"His words sound like truth to me, little monkey. Stay sharp and keep a lookout!"
Elder Jinchi,阿弥陀佛,Thank Amitabha!
Elder Jinchi,那三口洪钟终于响了,"Oh finally then, the three bells sang!"
Elder Jinchi,徒儿们，又有外面的老爷们过来了,Disciples come! I hear travelers approaching my temple!
Elder Jinchi,给我带新宝贝了！,Carrying new treasures!
Elder Jinchi,我看不见样貌,I cannot see you....
Elder Jinchi,但我能闻到那股臊味,but I recognize your odor!
Elder Jinchi,莫非是你？,It cannot be you?
Elder Jinchi,你回来了？,You are back?
Elder Jinchi,定是你把那袈裟藏起来了,It must be you who took that kasaya!
Elder Jinchi,快还给我！,Now give it back!
Elder Jinchi,我今年二百七十岁,Two hundred...and seventy years spent...
Elder Jinchi,空挣了几百件袈裟,Kasayas collected....by the hundreds...
Elder Jinchi,怎么得有他这一件？,Still one short...without his...
Elder Jinchi,不，不不,"No, no, no! Stop, stop, stop!"
Elder Jinchi,广智广谋,Guangzhi! Guangmou!
Elder Jinchi,那袈裟我不要了，不要了……,That kasaya... Leave it... Just leave it!
Elder Jinchi,你们别烧，都别烧了……,Stop the fire! Please stop...
Keeper of Black Wind Mountain,辟火罩！,The Fireproof Mantle!
Keeper of Black Wind Mountain,当年大圣从广目天王那里借来的神器，居然还在这里,The Great Sage borrowed it from Virupaksa. How did it end up here?
Keeper of Black Wind Mountain,你想必是超度过那个人了,You must have freed that miserable soul.
Keeper of Black Wind Mountain,唉，缘起缘落,Such is his end...
Keeper of Black Wind Mountain,只因多看一眼,A tragedy prologued by a single glance.
Keeper of Black Wind Mountain,天色不早，赶紧上山罢！,It's getting late. Let's hurry up the mountain!
Black Wind King,五百年了,Five hundred years.
Black Wind King,我重建了观音禅院,I have rebuilt the temple.
Black Wind King,规模比之前的更大,Now it's grander in scope.
Black Wind King,那些葬身火海的僧众 ,"All those monks consumed by the fire,"
Black Wind King,化为孤魂野鬼 ,"turned to wandering ghosts,"
Black Wind King,在这黑风山间游荡,roaming in Black Wind Mountain.
Black Wind King,是我！,"It was I,"
Black Wind King,亲手将他们超度,who granted them eternal repose!
Black Wind King,我甚至把那些经书残卷,I have even restored the charred scriptures...
Black Wind King, 一一复原,piece by piece!
Black Wind King,但我知道总有一天 ,But oh yes I always knew...
Black Wind King,你还是会找上门来！,one day you shall return!
Black Wind King,有点本事,You have some cheap tricks.
Black Wind King,有种跟我来山顶会会！,Meet me at the summit if you dare!
Keeper of Black Wind Mountain,他这聚形散气之术,The spell he just cast...
Keeper of Black Wind Mountain,看着花里胡哨,"may appear intricate,"
Keeper of Black Wind Mountain,实则不难掌握,but it's not hard to learn.
Keeper of Black Wind Mountain,这黑风怪学艺不精,That black bear's expertise is lacking.
Keeper of Black Wind Mountain,去了趟南海也不见长进,Serving Guanyin didn't help him much.
Keeper of Black Wind Mountain,他刚才的几番变化,But what he left here...
Keeper of Black Wind Mountain,遗留了不少元气在此,could surely help us!
Keeper of Black Wind Mountain,正好小老儿收些来用！,Consider today your lucky day!
Keeper of Black Wind Mountain,聚形散气，无痕无迹,"Focus and disperse, illusions traverse."
Keeper of Black Wind Mountain,里面门道大得很,You still have a lot to learn.
Keeper of Black Wind Mountain,自己慢慢领悟罢,Give yourself the time you need.
Keeper of Black Wind Mountain,小猴子，前方山路凶险，紧要时莫忘了刚学的法术！,"Ahead is a treacherous path, young monkey. Don't forget the spell you just learned!"
Black Bear Guai,那家伙曾经对我说,"He once told me,"
Black Bear Guai,眼不见，心不乱寻常修为，,"""Out of sight, out of mind is a fool's task; """
Black Bear Guai,入一切相，破一切相，方得自在,"""seeing but seeing through is what wise men do""."
Black Bear Guai,可是他自己看到那些东西后,But didn't he turn mad...
Black Bear Guai,不也疯了吗？,"by what he saw, too?"
Black Bear Guai,小泼物有点手段,You cunning wretch...
Black Bear Guai,今日本大王先不与你纠缠！,I'll spare your sorry life for today!
Black Bear Guai,此番不同往昔,Fortune is no longer on your side.
Black Bear Guai,无人与你助力,No one will come to your aid.
Black Bear Guai,待我取走这宝贝,All I need is to take it elsewhere...
Black Bear Guai,哪里不能重建宝刹？,and rebuild everything anew!
Black Bear Guai,大圣,Great Sage!
Black Bear Guai,哦不，小圣,"Oh, pardon me, Young Sage!"
Black Bear Guai,小圣饶命！小圣饶命！,"Mercy, Young Sage! Have mercy!"
Black Bear Guai,我也是被那天庭胁迫,I was just a pawn of the Celestial Court.
Black Bear Guai,若非身不由己,"If given a choice,"
Black Bear Guai,好端端的谁敢对那闹天宫的瘟神动手,who'd dare to challenge the mighty Wrecker of the Celestial Palace?
Keeper of Black Wind Mountain,这熊怪说的倒不假,His words ring true.
Keeper of Black Wind Mountain,借再多的胆子,"No matter how daring he was,"
Keeper of Black Wind Mountain,他也绝计不敢自己谋害大圣,he had not the nerve to harm the Great Sage.
Keeper of Black Wind Mountain,这幕后指使定然另有其人,There must be someone else pulling all the strings
Black Bear Guai,况且这玩意邪乎得很,Exactly! And this thing is eerie.
Black Bear Guai,得来后根本不知如何炼化,"I had no idea how to make use of its power,"
Black Bear Guai,只好高高供在上面,"except to enshrine it up there,"
Black Bear Guai,偶尔骗些小妖怪朝拜敛财而已,tricking lesser yaoguais into offerings.
Black Bear Guai,若小圣饶我这一次,"If you'd pardon me,"
Black Bear Guai,我自当回到南海负荆请罪,"I'll go back to Guanyin to atone for my actions,"
Black Bear Guai,重戴禁箍,and be put back on the Encaging Band.
Black Bear Guai,从此不再离开普陀半步！,You will never see me out there anymore!
Keeper of Black Wind Mountain,别听他掰扯！,"Oh, ignore his nonsense!"
Keeper of Black Wind Mountain,小猴子，赶紧先把大圣遗物取回来看看,"Go now little monkey, go and retrieve the great sage's relic."
Black Bear Guai,师傅，徒弟还是想不明白,"Master, it still puzzles me."
Black Bear Guai,出家人尘缘已断，金海尽干,A monk's lust for gold should be quelled.
Black Bear Guai,长老他为何偏偏放不下一件衣裳？,Why does Elder Jinchi still cling to that one kasaya?
Guanyin,若不披上这件衣裳,"Bereft of that kasaya,"
Guanyin,众生又怎知我尘缘已断，金海尽干,"how shall they show the world their ties are cut, and their lust is quelled?"
Headless Monk,黄风岭，八百里，曾是关外富饶地,"Yellow Wind Ridge, a mighty ole' range, once buzzin' with joy and glee."
Headless Monk,一朝鼠患凭空起，乌烟瘴气渺人迹,"But the pesky rats took hold, a sudden unfold, turned it all barren and bleak."
Headless Monk,无父无君无法纪，为非作歹有天庇,"The King got denied, rules thrown aside, evil connived, runnin' wild and free."
Headless Monk,幸得大圣见佛力，邪风一时偃旌旗,"Wukong went to the Bodhisattva to plead, granting this land a moment o'peace."
Headless Monk,哪知不测奇祸起旦夕,"Yet before long, another disaster struck,"
Headless Monk,那黄毛孽畜再回籍,The cursed beast returned on a killin' spree
Headless Monk,凶犯不死好得意，福星横尸却成谜,"The hero, he lies there dead, with the truth hidden from ye and me..."
Headless Monk,小施主来此的目的，老衲多少猜到几许,"Reckon I got an idea why ye have come here, me friend."
Headless Monk,心急吃不着热面皮，暂且助你一臂之力,Haste makes waste. I'll lend ye a hand.
Headless Monk,小心上路，再落得一身窟窿可没人救,"Watch your step, eh? Get more shots and you'll be high and dry."
Headless Monk,血化风，沙化雨，无主的猫鼠儿串一气,"In a land o' bloodshed and chaos' sting, mice and rat mingle without a king."
Headless Monk,成败生死莫讲理，不强走那正道才有戏,"No logic in success or strife, the right path may be a different thing."
Headless Monk,好一个心狠手辣的泼赖猴,"Oh! Heartless monkey, vicious and vile!"
Headless Monk,可怜那鼠怪耗精地府走,Woe! Me heart pains for their death wail!
Headless Monk,眼见得父死子亡又生离愁,"Father and son, fate's bitter game,"
Headless Monk,老衲我有手无头空虚久,"Headless, I grieve all the same."
Headless Monk,普天之下,"Across all realms,"
Headless Monk,父子君臣纲纪，伦常规矩天理,"Fathers and sons, kings and folks,"
Headless Monk,哪个说了才算，哪个放任不管,"the former bonds the latter, that's how it goes."
Headless Monk,你瞧那鼠辈倒讲人情,"These rats have obeyed the rule,"
Headless Monk,可怎么就落得个子亡父逃尸骨寒,"But how come fate snatched the son, and the father flew?"
Headless Monk,世人都爱拼利害，偏偏破门敲不开,"People crave greatness, but the gate's held. The path to glory, a secret withheld."
Headless Monk,神风奇术蔽日月，三昧妙法障山海,His great Samadhi Wind sweeps the land. Veils the sky with its mighty command.
Headless Monk,要想见那黄毛鼠精，必须要得心腹口令,"To beat the yellow rat, tokens ye'll need. Get both from his henchmen who ye'll meet."
Headless Monk,一个不够凑一双,"Subdue him, brave and bold,"
Headless Monk,那缩卵风魔不死也得伤,"Yer valor and might, forever be told."
Headless Monk,且慢走，且慢走，再走怕你也无头,"Hold yer steps, hold'em true, lest yer head get severed too!"
Headless Monk,甭急，甭急,"Easy, easy!"
Headless Monk,好灵，好灵,This befits ye grandly!
Headless Monk,亏得我一直存着，算是找着正主了,"Aye, luckily I've kept it close for its rightful owner."
Headless Monk,无生有，莫强求，方便法门鬼见愁,"A pluck of Many, deemed as mighty, Quite a few find it uncanny."
Headless Monk,旁人以为稀罕物，左道旁门不入流,"But if ye'd ask me, I deem it a wee trick, Shortcuttin makes nothing great."
Headless Monk,金铁击石金无力，大圣天蓬遭虎欺,"The tiger deceived them, led them to attack a rock, But the rock stood firm, leaving hands sore and the tiger's mock."
Headless Monk,枪刀剑戟浑不避，石猴似你不似你,Did this one's deceit recall yer true norm? A stone monkey defies harm in all forms.
Headless Monk,小施主筋骨清奇，正相应这铜头铁臂,This body of yours is perfect for the art of Rock Solid.
Xu Dog,来得正好,You come at a good moment.
Xu Dog,我有一丹方被水里的小蛙吞了,One of my formulas was swallowed by a petty frog.
Xu Dog,莫忙走，帮帮小神，亏不了你,Stay and help. A deity like myself will not short you.
Xu Dog,甚好甚好！,How wondrous!
Xu Dog,人法地，地法天，天法道，道法自然,"Man follows Earth, Earth follows Sky, Sky follows Dao, Dao follows nature."
Xu Dog,着！,Zah!
Xu Dog,这等凡品，赏你便是,"These common pills, I grant you."
Xu Dog,往后，你便可去土地庙自行炼制,"Hereafter, you may craft more yourself at the Shrines."
Xu Dog,小神还要寻丹炉，先走一步,I must retrieve a furnace forthwith. Pray forgive my departure.
Two Head Rat,别过来，走开走开,Let's rush out and take'em!
Two Head Rat,你，快走！,Move! Now!
Two Head Rat,别在这里伸头探脑,Stop poking around here!
Two Head Rat,要是被那些两个头的大家伙看见了，咱俩都得完蛋,"If them two heads lay eyes on us, we're both done for!"
Two Head Rat,我等遭劫难才落得如此下场，不得已背井离乡,Our misfortune back home has led us to exile.
Two Head Rat,原想跟随鼠神大人重整大业，可我……,"We'd hoped to rebuild with the Rat sage's guidance, but..."
Two Head Rat,我看到他那手下先锋在吃……,but I saw that vanguard of his feasting upon...
Two Head Rat,我王糊涂啊……太可怕了，得逃出去才是,Our king has lost his way. Escape was the only choice.
Two Head Rat,双头鼠乃我国中精锐……,The two heads are the best fighters...
Two Head Rat,明明是同僚，却还要自相残杀,"But now, they are hunters of their own kin."
Two Head Rat,躲在这里早晚饿死，杀出去，来个痛快！,We'll starve hiding here. Let's get out and get this over with!
Two Head Rat,你怎么还在这儿，不要害我被发现，快走,Why are you still here? Don't put me in danger. Be off!
Two Head Rat,手足相残之事，我万不肯做,I'd never take part in slaying kin.
Two Head Rat,你帮我除去同僚，我也是时候该走了,"Now that you have rid me of them, it's time for me to go."
Two Head Rat,我王执迷不悟，如此下去，何谈复兴,"With a blinded king, we can never rise again."
Two Head Rat,须找到下落不明的三王子,We must find the missing prince.
Two Head Rat,三王子？算了算了，他最恨老鼠！,The Third Prince? But he's against rats! Remember?
Two Head Rat,我们现在这副样子，三王子认不出来，认不出来……,And look at us now. He won't even recognize us. Not one bit!
